Player,position_clean,Age,KTC Value,multi_year_prod_score,combined_score,avg_ppg,n_seasons,tier,tier_rank
RJ Harvey,RB,25.4,3376,5136.8,3904.2,12.005263328552246,1.0,Unclassified,99
David Montgomery,RB,29.1,3372,5808.2,4102.9,13.574390411376953,4.0,Unclassified,99
Zach Charbonnet,RB,25.5,3368,3995.5,3556.2,9.337867736816406,3.0,Unclassified,99
Ricky Pearsall,WR,25.8,3363,5088.1,3880.5,10.765972137451172,2.0,Unclassified,99
Michael Pittman,WR,28.7,3358,6460.5,4288.8,13.669975280761719,4.0,Unclassified,99
Blake Corum,RB,25.6,3358,2133.7,2990.7,4.986666679382324,2.0,Unclassified,99
Travis Hunter,WR,23.1,3332,4307.5,3624.6,9.114285469055176,1.0,Unclassified,99
Davante Adams,WR,33.5,3329,8261.2,4808.7,17.479970932006836,4.0,Unclassified,99
Xavier Worthy,WR,23.2,3327,5341.4,3931.3,11.301922798156738,2.0,Unclassified,99
Jonathon Brooks,RB,22.9,3322,996.6,2624.4,0.0,0.0,Unclassified,99
Chuba Hubbard,RB,27.0,3316,5142.6,3864.0,12.018848419189453,4.0,Unclassified,99
Mike Evans,WR,32.8,3313,7754.1,4645.3,16.407047271728516,4.0,Unclassified,99
George Kittle,TE,32.7,3275,9002.9,4993.4,14.44649887084961,4.0,Unclassified,99
Jake Ferguson,TE,27.4,3213,6550.8,4214.3,10.511739730834961,4.0,Unclassified,99
Jaylen Warren,RB,27.6,3198,4664.1,3637.8,10.9005708694458,4.0,Unclassified,99
Jonah Coleman,RB,22.8,3183,954.9,2514.6,0.0,0.0,Unclassified,99
Rico Dowdle,RB,28.0,3157,4302.4,3500.6,10.055037498474121,3.0,Unclassified,99
Jalen Coker,WR,24.7,3148,4739.3,3625.4,10.027999877929688,2.0,Unclassified,99
Dalton Kincaid,TE,26.7,3143,6165.9,4049.9,9.89403247833252,3.0,Unclassified,99
Courtland Sutton,WR,30.7,3108,6392.6,4093.4,13.526253700256348,4.0,Unclassified,99
Romeo Doubs,WR,26.2,3088,5241.0,3733.9,11.089615821838379,4.0,Unclassified,99
Michael Penix Jr.,QB,26.1,3081,5641.0,3849.0,13.920000076293945,1.0,Unclassified,99
Jalen McMillan,WR,24.6,3077,5144.2,3697.2,10.884614944458008,1.0,Unclassified,99
Jakobi Meyers,WR,29.6,3068,6494.5,4096.0,13.741844177246094,4.0,Unclassified,99
Chris Bell,WR,22.1,3050,915.0,2409.5,0.0,0.0,Unclassified,99
Antonio Williams,WR,,3029,908.7,2392.9,0.0,0.0,Unclassified,99
Brenton Strange,TE,25.5,2987,5129.3,3629.7,8.230769157409668,2.0,Unclassified,99
J.K. Dobbins,RB,27.5,2965,5235.0,3646.0,12.234761238098145,3.0,Unclassified,99
Germie Bernard,WR,22.6,2958,887.4,2336.8,0.0,0.0,Unclassified,99
Jacory Croskey-Merritt,RB,25.2,2955,3531.3,3127.9,8.252941131591797,1.0,Unclassified,99
Rhamondre Stevenson,RB,28.3,2943,5620.2,3746.2,13.134913444519043,4.0,Unclassified,99
Khalil Shakir,WR,26.4,2924,5059.8,3564.7,10.706019401550293,4.0,Unclassified,99
Chris Godwin,WR,30.3,2910,7397.3,4256.2,15.652146339416504,4.0,Unclassified,99
Kenneth Gainwell,RB,27.3,2908,3600.0,3115.6,8.413557052612305,4.0,Unclassified,99
Nicholas Singleton,RB,,2906,871.8,2295.7,0.0,0.0,Unclassified,99
Tony Pollard,RB,29.2,2816,5797.3,3710.4,13.548843383789062,4.0,Unclassified,99
Chigoziem Okonkwo,TE,26.8,2815,4611.2,3353.9,7.399358749389648,4.0,Unclassified,99
Elijah Sarratt,WR,,2786,835.8,2200.9,0.0,0.0,Unclassified,99
Mark Andrews,TE,30.8,2785,7739.9,4271.5,12.419875144958496,4.0,Unclassified,99
Tua Tagovailoa,QB,28.3,2777,7069.1,4064.6,17.444204330444336,4.0,Unclassified,99
Rashid Shaheed,WR,27.8,2764,4342.5,3237.6,9.188311576843262,3.0,Unclassified,99
Isaac TeSlaa,WR,24.4,2763,3985.7,3129.8,8.433333396911621,1.0,Unclassified,99
Rachaad White,RB,27.5,2750,5351.9,3530.6,12.507901191711426,4.0,Unclassified,99
AJ Barner,TE,24.2,2750,4336.5,3226.0,6.958571434020996,2.0,Unclassified,99
Tyler Allgeier,RB,26.2,2744,3572.7,2992.6,8.34975528717041,4.0,Unclassified,99
Dylan Sampson,RB,21.8,2744,2744.5,2744.2,6.414285182952881,1.0,Unclassified,99
J.J. McCarthy,QB,23.4,2742,5648.2,3613.9,13.938000679016113,1.0,Unclassified,99
Tre Harris,WR,24.3,2739,2312.6,2611.1,4.893333435058594,1.0,Unclassified,99
T.J. Hockenson,TE,29.0,2730,7738.1,4232.4,12.417003631591797,4.0,Unclassified,99
De'Zhaun Stribling,WR,23.5,2728,818.4,2155.1,0.0,0.0,Unclassified,99
Jaylin Noel,WR,23.8,2723,2705.7,2717.8,5.724999904632568,1.0,Unclassified,99
Woody Marks,RB,25.5,2720,3943.6,3087.1,9.216666221618652,1.0,Unclassified,99
Malachi Fields,WR,,2717,815.1,2146.4,0.0,0.0,Unclassified,99
Shedeur Sanders,QB,24.4,2708,4908.5,3368.2,12.112499237060547,1.0,Unclassified,99
Zachariah Branch,WR,,2703,810.9,2135.4,0.0,0.0,Unclassified,99
Mac Jones,QB,27.8,2675,5110.1,3405.5,12.609912872314453,4.0,Unclassified,99
Terrance Ferguson,TE,23.3,2670,4284.4,3154.3,6.875,1.0,Unclassified,99
Jordan Mason,RB,27.1,2668,3223.1,2834.5,7.5326385498046875,4.0,Unclassified,99
Braelon Allen,RB,22.4,2666,2144.4,2509.5,5.011765003204346,1.0,Unclassified,99
Tyrone Tracy,RB,26.6,2660,4616.2,3246.9,10.788431167602539,2.0,Unclassified,99
Gunnar Helm,TE,23.8,2648,3571.7,2925.1,5.731250286102295,1.0,Unclassified,99
Jacoby Brissett,QB,33.6,2646,5428.4,3480.7,13.395384788513184,3.0,Unclassified,99
Chris Rodriguez,RB,25.8,2635,2518.0,2599.9,5.8847222328186035,3.0,Unclassified,99
Tory Horton,WR,23.6,2631,789.3,2078.5,0.0,0.0,Unclassified,99
Jerry Jeudy,WR,27.2,2611,5889.2,3594.5,12.461169242858887,4.0,Unclassified,99
Jauan Jennings,WR,29.0,2606,5049.4,3339.0,10.684150695800781,4.0,Unclassified,99
Tyjae Spears,RB,25.0,2597,3866.1,2977.7,9.035344123840332,3.0,Unclassified,99
Troy Franklin,WR,23.4,2597,3745.4,2941.5,7.924999713897705,2.0,Unclassified,99
Dallas Goedert,TE,31.5,2589,7525.4,4069.9,12.075630187988281,4.0,Unclassified,99
Kaytron Allen,RB,,2585,775.5,2042.1,0.0,0.0,Unclassified,99
Emmett Johnson,RB,,2562,768.6,2024.0,0.0,0.0,Unclassified,99
Malik Washington,WR,25.5,2546,2758.9,2609.9,5.837700843811035,2.0,Unclassified,99
Tank Dell,WR,26.7,2536,6443.8,3708.3,13.634614944458008,2.0,Unclassified,99
Kayshon Boutte,WR,24.1,2536,4055.9,2992.0,8.581960678100586,2.0,Unclassified,99
Adonai Mitchell,WR,23.7,2536,2802.1,2615.8,5.928910255432129,2.0,Unclassified,99
Ted Hurst,WR,22.0,2526,757.8,1995.5,0.0,0.0,Unclassified,99
Travis Kelce,TE,36.7,2511,10000.0,4757.7,16.046491622924805,4.0,Unclassified,99
Keaton Mitchell,RB,24.4,2502,3124.0,2688.6,7.30118989944458,2.0,Unclassified,99
Jack Bech,WR,23.5,2492,2226.5,2412.4,4.711111068725586,1.0,Unclassified,99
Chris Brazzell II,WR,,2489,746.7,1966.3,0.0,0.0,Unclassified,99
