name,position,nfl_team,age,owner,on_taxi,KTC Value,multi_year_prod_score,combined_score,avg_ppg,n_seasons,tier,tier_rank,is_my_team
Jalen Tolbert,WR,MIA,27,Herschey6153,False,1793.0,3326.8,2253.1,7.0391669273376465,3.0,Jag Insurance,11,False
A.J. Brown,WR,NE,28,Herschey6153,False,5038.0,7760.2,5854.7,16.420000076293945,4.0,Foundational,2,False
Travis Kelce,TE,KC,36,Herschey6153,False,2444.0,10000.0,4710.8,16.046491622924805,4.0,Short-term Production,8,False
Daniel Jones,QB,IND,29,Herschey6153,False,3905.0,6917.0,4808.6,17.06874656677246,4.0,Mainstay,4,False
Alvin Kamara,RB,NO,30,Herschey6153,False,2049.0,7244.2,3607.6,16.930513381958008,4.0,Short-term Production,8,False
Derrick Henry,RB,BAL,32,Herschey6153,False,3944.0,7924.7,5138.2,18.520788192749023,4.0,Short-term Winner,6,False
Lamar Jackson,QB,BAL,29,Herschey6153,False,7673.0,9154.3,8117.4,22.58988380432129,4.0,Cornerstone,1,False
Stefon Diggs,WR,,32,Herschey6153,False,2163.0,7817.8,3859.4,16.54189109802246,4.0,Serviceable,9,False
Josh Jacobs,RB,GB,28,Herschey6153,False,3602.0,7435.0,4751.9,17.376239776611328,4.0,Serviceable,9,False
Jack Bech,WR,LV,23,Herschey6153,True,2533.0,2226.5,2441.0,4.711111068725586,1.0,Jag Developmental,10,False
Kimani Vidal,RB,LAC,24,Herschey6153,False,2203.0,2834.4,2392.4,6.624359130859375,2.0,Jag Insurance,11,False
Tony Pollard,RB,TEN,29,Herschey6153,False,2812.0,5797.3,3707.6,13.548843383789062,4.0,Serviceable,9,False
Jeremiyah Love,RB,ARI,21,jsinykin,False,7655.0,2296.5,6047.4,0.0,0.0,Upside Premier,3,False
Tez Johnson,WR,TB,24,jsinykin,False,2140.0,3639.1,2589.7,7.700000286102295,1.0,Jag Insurance,11,False
Darnell Mooney,WR,NYG,28,jsinykin,False,2076.0,4518.5,2808.8,9.560757637023926,4.0,Serviceable,9,False
Emeka Egbuka,WR,TB,23,jsinykin,True,6079.0,5385.0,5870.8,11.39411735534668,1.0,Upside Premier,3,False
Omar Cooper,WR,NYJ,22,jsinykin,False,0.0,0.0,0.0,0.0,0.0,Replaceable,12,False
Ben Sinnott,TE,WAS,23,jsinykin,False,1739.0,2212.3,1881.0,3.549999952316284,1.0,Jag Developmental,10,False
Michael Penix,QB,ATL,26,jsinykin,False,3162.0,5641.0,3905.7,13.920000076293945,1.0,Upside Shot,7,False
Dont'e Thornton,WR,LV,23,jsinykin,False,2007.0,1586.6,1880.9,3.357142925262451,1.0,Jag Developmental,10,False
Michael Mayer,TE,LV,24,jsinykin,False,2123.0,3464.6,2525.5,5.559394359588623,3.0,Serviceable,9,False
Makai Lemon,WR,PHI,22,jsinykin,False,5092.0,1527.6,4022.7,0.0,0.0,Upside Premier,3,False
Harold Fannin,TE,CLE,21,jsinykin,False,4902.0,7260.2,5609.5,11.649999618530273,1.0,Upside Premier,3,False
Jaxson Dart,QB,NYG,23,jsinykin,False,6585.0,7695.8,6918.2,18.99077033996582,1.0,Upside Premier,3,False
Jordyn Tyson,WR,NO,21,jsinykin,False,5374.0,1612.2,4245.5,0.0,0.0,Upside Premier,3,False
Chris Olave,WR,NO,25,jsinykin,False,5536.0,7008.8,5977.8,14.83013916015625,4.0,Foundational,2,False
Ted Hurst,WR,TB,21,jsinykin,False,2295.0,688.5,1813.0,0.0,0.0,Jag Developmental,10,False
Luther Burden,WR,CHI,22,jsinykin,True,5355.0,3894.8,4916.9,8.24117660522461,1.0,Upside Premier,3,False
Jordan Addison,WR,MIN,24,jsinykin,False,4021.0,5966.4,4604.6,12.624519348144531,3.0,Mainstay,4,False
Quinshon Judkins,RB,CLE,22,jsinykin,True,5501.0,5128.5,5389.2,11.98571491241455,1.0,Upside Premier,3,False
Odell Beckham,WR,NYG,33,jsinykin,False,0.0,0.0,0.0,0.0,0.0,Replaceable,12,False
Malik Washington,WR,MIA,25,jsinykin,False,2514.0,2758.9,2587.5,5.837700843811035,2.0,Replaceable,12,False
Caleb Williams,QB,CHI,24,jsinykin,False,7973.0,7018.0,7686.5,17.318204879760742,2.0,Cornerstone,1,False
Eli Stowers,TE,PHI,23,jsinykin,False,3736.0,1120.8,2951.4,0.0,0.0,Jag Developmental,10,False
Ray Davis,RB,BUF,26,jsinykin,False,1968.0,2419.3,2103.4,5.654048442840576,2.0,Jag Insurance,11,False
Tory Horton,WR,SEA,23,jsinykin,False,2699.0,809.7,2132.2,0.0,0.0,Jag Developmental,10,False
Jaylin Noel,WR,HOU,23,jsinykin,False,2683.0,2705.7,2689.8,5.724999904632568,1.0,Jag Developmental,10,False
Parker Washington,WR,JAX,24,jsinykin,False,3576.0,4422.2,3829.9,9.356969833374023,3.0,Serviceable,9,False
Adonai Mitchell,WR,NYJ,23,jsinykin,False,2451.0,2802.1,2556.3,5.928910255432129,2.0,Replaceable,12,False
Oronde Gadsden,TE,LAC,22,SvenMoney34,False,3611.0,5429.5,4156.5,8.712499618530273,1.0,Upside Shot,7,False
Adam Randall,RB,BAL,21,SvenMoney34,True,1019.0,305.7,805.0,0.0,0.0,Jag Developmental,10,False
Justin Herbert,QB,LAC,28,SvenMoney34,False,6889.0,7321.2,7018.7,18.066356658935547,4.0,Foundational,2,False
Jakobi Meyers,WR,JAX,29,SvenMoney34,False,3142.0,6494.5,4147.8,13.741844177246094,4.0,Mainstay,4,False
Bucky Irving,RB,TB,23,SvenMoney34,False,4793.0,6061.6,5173.6,14.166666984558105,2.0,Upside Premier,3,False
Jayden Daniels,QB,WAS,25,SvenMoney34,False,7798.0,7753.1,7784.5,19.132143020629883,2.0,Cornerstone,1,False
Eli Raridon,TE,NE,22,SvenMoney34,False,1243.0,372.9,982.0,0.0,0.0,Jag Developmental,10,False
Theo Johnson,TE,NYG,25,SvenMoney34,False,2242.0,4966.4,3059.3,7.96928596496582,2.0,Serviceable,9,False
Mac Jones,QB,SF,27,SvenMoney34,False,2687.0,5110.1,3413.9,12.609912872314453,4.0,Serviceable,9,False
De'Zhaun Stribling,WR,SF,23,SvenMoney34,False,2447.0,734.1,1933.1,0.0,0.0,Jag Developmental,10,False
Demond Claiborne,RB,MIN,22,SvenMoney34,True,1770.0,531.0,1398.3,0.0,0.0,Jag Developmental,10,False
Trevor Lawrence,QB,JAX,26,SvenMoney34,False,6383.0,7667.0,6768.2,18.91973114013672,4.0,Foundational,2,False
Colston Loveland,TE,CHI,22,SvenMoney34,False,6117.0,7199.7,6441.8,11.552940368652344,1.0,Foundational,2,False
Jaxon Smith-Njigba,WR,SEA,24,SvenMoney34,False,9802.0,6968.5,8951.9,14.744705200195312,3.0,Cornerstone,1,False
Matthew Golden,WR,GB,22,SvenMoney34,False,3712.0,2984.2,3493.7,6.314285755157471,1.0,Upside Shot,7,False
Jimmy Horn,WR,CAR,23,SvenMoney34,False,1553.0,1356.4,1494.0,2.869999885559082,1.0,Replaceable,12,False
Dalton Kincaid,TE,BUF,26,SvenMoney34,False,3256.0,6165.9,4129.0,9.89403247833252,3.0,Mainstay,4,False
Xavier Worthy,WR,KC,23,SvenMoney34,False,3346.0,5341.4,3944.6,11.301922798156738,2.0,Upside Shot,7,False
Brian Thomas,WR,JAX,23,SvenMoney34,False,4779.0,6237.8,5216.6,13.198627471923828,2.0,Upside Premier,3,False
Ja'Marr Chase,WR,CIN,26,SvenMoney34,False,9987.0,10000.0,9990.9,21.159181594848633,4.0,Cornerstone,1,False
Travis Etienne,RB,NO,27,SvenMoney34,False,4503.0,6275.7,5034.8,14.666913032531738,4.0,Mainstay,4,False
DeVonta Smith,WR,PHI,27,SvenMoney34,False,5421.0,7043.3,5907.7,14.903096199035645,4.0,Foundational,2,False
Ty Simpson,QB,LAR,23,SvenMoney34,True,3644.0,1093.2,2878.8,0.0,0.0,Jag Developmental,10,False
Devin Neal,RB,NO,22,SvenMoney34,False,2074.0,2852.5,2307.6,6.666666507720947,1.0,Jag Developmental,10,False
Drake London,WR,ATL,24,SvenMoney34,False,6960.0,7063.1,6990.9,14.944881439208984,4.0,Cornerstone,1,False
Omarion Hampton,RB,LAC,23,SvenMoney34,False,6818.0,6451.5,6708.0,15.077777862548828,1.0,Cornerstone,1,False
De'Von Achane,RB,MIA,24,SvenMoney34,False,6919.0,7725.3,7160.9,18.054697036743164,3.0,Cornerstone,1,False
